date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
2014-05-29,Cameroon,Paraguay,1,2,Friendly,Kufstein,Austria,True,Paraguay
2014-05-30,Austria,Iceland,1,1,Friendly,Innsbruck,Austria,False,TIE
2014-05-30,England,Peru,3,0,Friendly,London,England,False,England
2014-05-30,Spain,Bolivia,2,0,Friendly,Seville,Spain,False,Spain
2014-05-30,Switzerland,Jamaica,1,0,Friendly,Lucerne,Switzerland,False,Switzerland
2014-05-30,Uruguay,Northern Ireland,1,0,Friendly,Montevideo,Uruguay,False,Uruguay
2014-05-31,Albania,Romania,0,1,Friendly,Yverdon-les-Bains,Switzerland,True,Romania
2014-05-31,Armenia,Algeria,1,3,Friendly,Sion,Switzerland,True,Algeria
2014-05-31,Colombia,Senegal,2,2,Friendly,Buenos Aires,Argentina,True,TIE
2014-05-31,Croatia,Mali,2,1,Friendly,Osijek,Croatia,False,Croatia
2014-05-31,Italy,Republic of Ireland,0,0,Friendly,London,England,True,TIE
2014-05-31,Mexico,Ecuador,3,1,Friendly,Arlington,United States,True,Mexico
2014-05-31,Netherlands,Ghana,1,0,Friendly,Rotterdam,Netherlands,False,Netherlands
2014-05-31,Norway,Russia,1,1,Friendly,Oslo,Norway,False,TIE
2014-05-31,Portugal,Greece,0,0,Friendly,Oeiras,Portugal,False,TIE
2014-06-01,France,Paraguay,1,1,Friendly,Nice,France,False,TIE
2014-06-01,Germany,Cameroon,2,2,Friendly,MÃ¶nchengladbach,Germany,False,TIE
2014-06-01,Sweden,Belgium,0,2,Friendly,Solna,Sweden,False,Belgium
2014-06-02,Costa Rica,Japan,1,3,Friendly,Tampa,United States,True,Japan
2014-06-03,Brazil,Panama,4,0,Friendly,GoiÃ¢nia,Brazil,False,Brazil
2014-06-03,Czech Republic,Austria,1,2,Friendly,Olomouc,Czech Republic,False,Austria
2014-06-03,Greece,Nigeria,0,0,Friendly,Chester,United States,True,TIE
2014-06-03,Mexico,Bosnia and Herzegovina,0,1,Friendly,Chicago,United States,True,Bosnia and Herzegovina
2014-06-03,Switzerland,Peru,2,0,Friendly,Lucerne,Switzerland,False,Switzerland
2014-06-04,Argentina,Trinidad and Tobago,3,0,Friendly,Buenos Aires,Argentina,False,Argentina
2014-06-04,Ecuador,England,2,2,Friendly,Miami Gardens,United States,True,TIE
2014-06-04,Hungary,Albania,1,0,Friendly,Budapest,Hungary,False,Hungary
2014-06-04,Italy,Luxembourg,1,1,Friendly,Perugia,Italy,False,TIE
2014-06-04,Jamaica,Egypt,2,2,Friendly,London,England,True,TIE
2014-06-04,Netherlands,Wales,2,0,Friendly,Amsterdam,Netherlands,False,Netherlands
2014-06-04,Romania,Algeria,1,2,Friendly,Lancy,Switzerland,True,Algeria
2014-06-06,Brazil,Serbia,1,0,Friendly,SÃ£o Paulo,Brazil,False,Brazil
2014-06-06,Colombia,Jordan,3,0,Friendly,Buenos Aires,Argentina,True,Colombia
2014-06-06,Costa Rica,Republic of Ireland,1,1,Friendly,Chester,United States,True,TIE
2014-06-06,Croatia,Australia,1,0,Friendly,Salvador,Brazil,True,Croatia
2014-06-06,Germany,Armenia,6,1,Friendly,Mainz,Germany,False,Germany
2014-06-06,Japan,Zambia,4,3,Friendly,Tampa,United States,True,Japan
2014-06-06,Mexico,Portugal,0,1,Friendly,Foxborough,United States,True,Portugal
2014-06-06,Poland,Lithuania,2,1,Friendly,GdaÅsk,Poland,False,Poland
2014-06-06,Russia,Morocco,2,0,Friendly,Moscow,Russia,False,Russia
2014-06-07,Argentina,Slovenia,2,0,Friendly,La Plata,Argentina,False,Argentina
2014-06-07,Belgium,Tunisia,1,0,Friendly,Brussels,Belgium,False,Belgium
2014-06-07,Cameroon,Moldova,1,0,Friendly,YaoundÃ©,Cameroon,False,Cameroon
2014-06-07,El Salvador,Spain,0,2,Friendly,Landover,United States,True,Spain
2014-06-07,Honduras,England,0,0,Friendly,Miami Gardens,United States,True,TIE
2014-06-07,Hungary,Kazakhstan,3,0,Friendly,Budapest,Hungary,False,Hungary
2014-06-07,United States,Nigeria,2,1,Friendly,Jacksonville,United States,False,United States
2014-06-08,France,Jamaica,8,0,Friendly,Villeneuve-d'Ascq,France,False,France
2014-06-10,Republic of Ireland,Portugal,1,5,Friendly,East Rutherford,United States,True,Portugal
2014-06-12,Brazil,Croatia,3,1,FIFA World Cup,SÃ£o Paulo,Brazil,False,Brazil
2014-06-13,Chile,Australia,3,1,FIFA World Cup,CuiabÃ¡,Brazil,True,Chile
2014-06-13,Mexico,Cameroon,1,0,FIFA World Cup,Natal,Brazil,True,Mexico
2014-06-13,Spain,Netherlands,1,5,FIFA World Cup,Salvador,Brazil,True,Netherlands
2014-06-14,Colombia,Greece,3,0,FIFA World Cup,Belo Horizonte,Brazil,True,Colombia
2014-06-14,England,Italy,1,2,FIFA World Cup,Manaus,Brazil,True,Italy
2014-06-14,Ivory Coast,Japan,2,1,FIFA World Cup,Recife,Brazil,True,Ivory Coast
2014-06-14,Uruguay,Costa Rica,1,3,FIFA World Cup,Fortaleza,Brazil,True,Costa Rica
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,FIFA World Cup,Rio de Janeiro,Brazil,True,Argentina
2014-06-15,France,Honduras,3,0,FIFA World Cup,Porto Alegre,Brazil,True,France
2014-06-15,Switzerland,Ecuador,2,1,FIFA World Cup,BrasÃ­lia,Brazil,True,Switzerland
2014-06-16,Germany,Portugal,4,0,FIFA World Cup,Salvador,Brazil,True,Germany
2014-06-16,Iran,Nigeria,0,0,FIFA World Cup,Curitiba,Brazil,True,TIE
2014-06-17,Belgium,Algeria,2,1,FIFA World Cup,Belo Horizonte,Brazil,True,Belgium
2014-06-17,Brazil,Mexico,0,0,FIFA World Cup,Fortaleza,Brazil,False,TIE
2014-06-17,Russia,South Korea,1,1,FIFA World Cup,CuiabÃ¡,Brazil,True,TIE
2014-06-18,Australia,Netherlands,2,3,FIFA World Cup,Curitiba,Brazil,True,Netherlands
2014-06-18,Cameroon,Croatia,0,4,FIFA World Cup,Manaus,Brazil,True,Croatia
2014-06-18,Spain,Chile,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,Chile
2014-06-19,Colombia,Ivory Coast,2,1,FIFA World Cup,BrasÃ­lia,Brazil,True,Colombia
2014-06-19,Japan,Greece,0,0,FIFA World Cup,Natal,Brazil,True,TIE
2014-06-19,Uruguay,England,2,1,FIFA World Cup,SÃ£o Paulo,Brazil,True,Uruguay
2014-06-20,Honduras,Ecuador,1,2,FIFA World Cup,Curitiba,Brazil,True,Ecuador
2014-06-20,Italy,Costa Rica,0,1,FIFA World Cup,Recife,Brazil,True,Costa Rica
2014-06-20,Switzerland,France,2,5,FIFA World Cup,Salvador,Brazil,True,France
2014-06-21,Argentina,Iran,1,0,FIFA World Cup,Belo Horizonte,Brazil,True,Argentina
2014-06-21,Germany,Ghana,2,2,FIFA World Cup,Fortaleza,Brazil,True,TIE
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,FIFA World Cup,CuiabÃ¡,Brazil,True,Nigeria
2014-06-22,Belgium,Russia,1,0,FIFA World Cup,Rio de Janeiro,Brazil,True,Belgium
2014-06-22,South Korea,Algeria,2,4,FIFA World Cup,Porto Alegre,Brazil,True,Algeria
2014-06-22,United States,Portugal,2,2,FIFA World Cup,Manaus,Brazil,True,TIE
2014-06-23,Australia,Spain,0,3,FIFA World Cup,Curitiba,Brazil,True,Spain
2014-06-23,Brazil,Cameroon,4,1,FIFA World Cup,BrasÃ­lia,Brazil,False,Brazil
2014-06-23,Croatia,Mexico,1,3,FIFA World Cup,Recife,Brazil,True,Mexico
2014-06-23,Netherlands,Chile,2,0,FIFA World Cup,SÃ£o Paulo,Brazil,True,Netherlands
2014-06-24,Costa Rica,England,0,0,FIFA World Cup,Belo Horizonte,Brazil,True,TIE
2014-06-24,Italy,Uruguay,0,1,FIFA World Cup,Natal,Brazil,True,Uruguay
2014-06-24,Japan,Colombia,1,4,FIFA World Cup,CuiabÃ¡,Brazil,True,Colombia
2014-06-25,Ecuador,France,0,0,FIFA World Cup,Rio de Janeiro,Brazil,True,TIE
2014-06-25,Honduras,Switzerland,0,3,FIFA World Cup,Manaus,Brazil,True,Switzerland
2014-06-25,Nigeria,Argentina,2,3,FIFA World Cup,Porto Alegre,Brazil,True,Argentina
2014-06-26,Algeria,Russia,1,1,FIFA World Cup,Curitiba,Brazil,True,TIE
2014-06-26,South Korea,Belgium,0,1,FIFA World Cup,SÃ£o Paulo,Brazil,True,Belgium
2014-06-26,Portugal,Ghana,2,1,FIFA World Cup,BrasÃ­lia,Brazil,True,Portugal
2014-06-26,United States,Germany,0,1,FIFA World Cup,Recife,Brazil,True,Germany
2014-06-28,Brazil,Chile,1,1,FIFA World Cup,Belo Horizonte,Brazil,False,Brazil
2014-06-28,Colombia,Uruguay,2,0,FIFA World Cup,Rio de Janeiro,Brazil,True,Colombia
2014-06-29,China PR,Mali,1,3,Friendly,Shenzhen,China PR,False,Mali
2014-06-29,Costa Rica,Greece,1,1,FIFA World Cup,Recife,Brazil,True,Costa Rica
2014-06-29,Netherlands,Mexico,2,1,FIFA World Cup,Fortaleza,Brazil,True,Netherlands
2014-06-30,France,Nigeria,2,0,FIFA World Cup,BrasÃ­lia,Brazil,True,France
2014-06-30,Germany,Algeria,2,1,FIFA World Cup,Porto Alegre,Brazil,True,Germany
2014-07-01,Argentina,Switzerland,1,0,FIFA World Cup,SÃ£o Paulo,Brazil,True,Argentina
2014-07-01,Belgium,United States,2,1,FIFA World Cup,Salvador,Brazil,True,Belgium
2014-07-04,Brazil,Colombia,2,1,FIFA World Cup,Fortaleza,Brazil,False,Brazil
2014-07-04,France,Germany,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True,Germany
2014-07-05,Argentina,Belgium,1,0,FIFA World Cup,BrasÃ­lia,Brazil,True,Argentina
2014-07-05,Netherlands,Costa Rica,0,0,FIFA World Cup,Salvador,Brazil,True,Netherlands
2014-07-08,Brazil,Germany,1,7,FIFA World Cup,Belo Horizonte,Brazil,False,Germany
2014-07-09,Netherlands,Argentina,0,0,FIFA World Cup,SÃ£o Paulo,Brazil,True,Argentina
2014-07-12,Brazil,Netherlands,0,3,FIFA World Cup,BrasÃ­lia,Brazil,False,Netherlands
2014-07-13,Germany,Argentina,1,0,FIFA World Cup,Rio de Janeiro,Brazil,True,Germany
2014-08-20,Panama,Cuba,4,0,Friendly,Panama City,Panama,False,Panama
2014-08-27,Norway,United Arab Emirates,0,0,Friendly,Stavanger,Norway,False,TIE
2014-08-30,Egypt,Kenya,1,0,Friendly,Aswan,Egypt,False,Egypt
2014-09-03,Costa Rica,Nicaragua,3,0,UNCAF Cup,Washington,United States,True,Costa Rica
2014-09-03,Denmark,Turkey,1,2,Friendly,Odense,Denmark,False,Turkey
2014-09-03,England,Norway,1,0,Friendly,London,England,False,England
2014-09-03,Germany,Argentina,2,4,Friendly,DÃ¼sseldorf,Germany,False,Argentina
2014-09-03,Morocco,Qatar,0,0,Friendly,Rabat,Morocco,False,TIE
2014-09-03,Russia,Azerbaijan,4,0,Friendly,Khimki,Russia,False,Russia
2014-09-03,Ukraine,Moldova,1,0,Friendly,Kyiv,Ukraine,False,Ukraine
2014-09-04,Belgium,Australia,2,0,Friendly,LiÃ¨ge,Belgium,False,Belgium
2014-09-04,Croatia,Cyprus,2,0,Friendly,Pula,Croatia,False,Croatia
2014-09-04,France,Spain,1,0,Friendly,Saint-Denis,France,False,France
2014-09-04,Iraq,Peru,0,2,Friendly,Dubai,United Arab Emirates,True,Peru
2014-09-04,Italy,Netherlands,2,0,Friendly,Bari,Italy,False,Italy
2014-09-04,Slovakia,Malta,1,0,Friendly,Å½ilina,Slovakia,False,Slovakia
2014-09-04,Sweden,Estonia,2,0,Friendly,Solna,Sweden,False,Sweden
2014-09-05,Japan,Uruguay,0,2,Kirin Challenge Cup,Sapporo,Japan,False,Uruguay
2014-09-05,Brazil,Colombia,1,0,Friendly,Miami Gardens,United States,True,Brazil
2014-09-05,South Korea,Venezuela,3,1,Friendly,Bucheon,South Korea,False,South Korea
2014-09-05,Senegal,Egypt,2,0,African Cup of Nations qualification,Dakar,Senegal,False,Senegal
2014-09-06,DR Congo,Cameroon,0,2,African Cup of Nations qualification,Lubumbashi,DR Congo,False,Cameroon
2014-09-06,Ethiopia,Algeria,1,2,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,Algeria
2014-09-06,Mexico,Chile,0,0,Friendly,Santa Clara,United States,True,TIE
2014-09-06,Nigeria,Congo,2,3,African Cup of Nations qualification,Calabar,Nigeria,False,Congo
2014-09-06,Tunisia,Botswana,2,1,African Cup of Nations qualification,Monastir,Tunisia,False,Tunisia
2014-09-07,Costa Rica,Panama,2,2,UNCAF Cup,Dallas,United States,True,TIE
2014-09-07,Denmark,Armenia,2,1,UEFA Euro qualification,Copenhagen,Denmark,False,Denmark
2014-09-07,Germany,Scotland,2,1,UEFA Euro qualification,Dortmund,Germany,False,Germany
2014-09-07,Gibraltar,Poland,0,7,UEFA Euro qualification,Faro,Portugal,True,Poland
2014-09-07,Greece,Romania,0,1,UEFA Euro qualification,Piraeus,Greece,False,Romania
2014-09-07,Hungary,Northern Ireland,1,2,UEFA Euro qualification,Budapest,Hungary,False,Northern Ireland
2014-09-07,Mali,Malawi,2,0,African Cup of Nations qualification,Bamako,Mali,False,Mali
2014-09-07,Morocco,Libya,3,0,Friendly,Marrakech,Morocco,False,Morocco
2014-09-07,Portugal,Albania,0,1,UEFA Euro qualification,Aveiro,Portugal,False,Albania
2014-09-07,Serbia,France,1,1,Friendly,Belgrade,Serbia,False,TIE
2014-09-08,Australia,Saudi Arabia,3,2,Friendly,London,England,True,Australia
2014-09-08,Austria,Sweden,1,1,UEFA Euro qualification,Vienna,Austria,False,TIE
2014-09-08,South Korea,Uruguay,0,1,Friendly,Goyang,South Korea,False,Uruguay
2014-09-08,Russia,Liechtenstein,4,0,UEFA Euro qualification,Khimki,Russia,False,Russia
2014-09-08,Spain,North Macedonia,5,1,UEFA Euro qualification,Valencia,Spain,False,Spain
2014-09-08,Switzerland,England,0,2,UEFA Euro qualification,Basel,Switzerland,False,England
2014-09-08,Ukraine,Slovakia,0,1,UEFA Euro qualification,Kyiv,Ukraine,False,Slovakia
2014-09-09,Andorra,Wales,1,2,UEFA Euro qualification,Sant JuliÃ  de LÃ²ria,Andorra,False,Wales
2014-09-09,Croatia,Malta,2,0,UEFA Euro qualification,Zagreb,Croatia,False,Croatia
2014-09-09,Czech Republic,Netherlands,2,1,UEFA Euro qualification,Prague,Czech Republic,False,Czech Republic
2014-09-09,Haiti,Chile,0,1,Friendly,Fort Lauderdale,United States,True,Chile
2014-09-09,Japan,Venezuela,2,2,Friendly,Yokohama,Japan,False,TIE
2014-09-09,Mexico,Bolivia,1,0,Friendly,Commerce City,United States,True,Mexico
2014-09-09,Norway,Italy,0,2,UEFA Euro qualification,Oslo,Norway,False,Italy
2014-09-09,Qatar,Peru,0,2,Friendly,Doha,Qatar,False,Peru
2014-09-10,Algeria,Mali,1,0,African Cup of Nations qualification,Blida,Algeria,False,Algeria
2014-09-10,Botswana,Senegal,0,2,African Cup of Nations qualification,Gaborone,Botswana,False,Senegal
2014-09-10,Cameroon,Ivory Coast,4,1,African Cup of Nations qualification,YaoundÃ©,Cameroon,False,Cameroon
2014-09-10,Egypt,Tunisia,0,1,African Cup of Nations qualification,Cairo,Egypt,False,Tunisia
2014-09-10,South Africa,Nigeria,0,0,African Cup of Nations qualification,Cape Town,South Africa,False,TIE
2014-10-09,Belarus,Ukraine,0,2,UEFA Euro qualification,Barysaw,Belarus,False,Ukraine
2014-10-09,England,San Marino,5,0,UEFA Euro qualification,London,England,False,England
2014-10-09,Moldova,Austria,1,2,UEFA Euro qualification,ChiÈinÄu,Moldova,False,Austria
2014-10-09,Morocco,Central African Republic,4,0,Friendly,Marrakech,Morocco,False,Morocco
2014-10-09,Slovakia,Spain,2,1,UEFA Euro qualification,Å½ilina,Slovakia,False,Slovakia
2014-10-09,Slovenia,Switzerland,1,0,UEFA Euro qualification,Maribor,Slovenia,False,Slovenia
2014-10-09,Sweden,Russia,1,1,UEFA Euro qualification,Solna,Sweden,False,TIE
2014-10-10,Belgium,Andorra,6,0,UEFA Euro qualification,Brussels,Belgium,False,Belgium
2014-10-10,Botswana,Egypt,0,2,African Cup of Nations qualification,Gaborone,Botswana,False,Egypt
2014-10-10,Bulgaria,Croatia,0,1,UEFA Euro qualification,Sofia,Bulgaria,False,Croatia
2014-10-10,Italy,Azerbaijan,2,1,UEFA Euro qualification,Palermo,Italy,False,Italy
2014-10-10,Japan,Jamaica,1,0,Friendly,Niigata,Japan,False,Japan
2014-10-10,Malta,Norway,0,3,UEFA Euro qualification,Attard,Malta,False,Norway
2014-10-10,Netherlands,Kazakhstan,3,1,UEFA Euro qualification,Amsterdam,Netherlands,False,Netherlands
2014-10-10,Oman,Costa Rica,3,4,Friendly,Muscat,Oman,False,Costa Rica
2014-10-10,Saudi Arabia,Uruguay,1,1,Friendly,Jeddah,Saudi Arabia,False,TIE
2014-10-10,Senegal,Tunisia,0,0,African Cup of Nations qualification,Dakar,Senegal,False,TIE
2014-10-10,United Arab Emirates,Australia,0,0,Friendly,Abu Dhabi,United Arab Emirates,False,TIE
2014-10-10,Wales,Bosnia and Herzegovina,0,0,UEFA Euro qualification,Cardiff,Wales,False,TIE
2014-10-11,Albania,Denmark,1,1,UEFA Euro qualification,Elbasan,Albania,False,TIE
2014-10-11,Argentina,Brazil,0,2,SuperclÃ¡sico de las AmÃ©ricas,Beijing,China PR,True,Brazil
2014-10-11,Armenia,Serbia,1,1,UEFA Euro qualification,Yerevan,Armenia,False,TIE
2014-10-11,Cameroon,Sierra Leone,0,0,African Cup of Nations qualification,YaoundÃ©,Cameroon,False,TIE
2014-10-11,Ethiopia,Mali,0,2,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,Mali
2014-10-11,France,Portugal,2,1,Friendly,Saint-Denis,France,False,France
2014-10-11,Malawi,Algeria,0,2,African Cup of Nations qualification,Blantyre,Malawi,False,Algeria
2014-10-11,Poland,Germany,2,0,UEFA Euro qualification,Warsaw,Poland,False,Poland
2014-10-11,Romania,Hungary,1,1,UEFA Euro qualification,Bucharest,Romania,False,TIE
2014-10-11,Scotland,Georgia,1,0,UEFA Euro qualification,Glasgow,Scotland,False,Scotland
2014-10-11,Sudan,Nigeria,1,0,African Cup of Nations qualification,Khartoum,Sudan,False,Sudan
2014-10-12,Austria,Montenegro,1,0,UEFA Euro qualification,Vienna,Austria,False,Austria
2014-10-12,Belarus,Slovakia,1,3,UEFA Euro qualification,Barysaw,Belarus,False,Slovakia
2014-10-12,Estonia,England,0,1,UEFA Euro qualification,Tallinn,Estonia,False,England
2014-10-12,Luxembourg,Spain,0,4,UEFA Euro qualification,Luxembourg,Luxembourg,False,Spain
2014-10-12,Mexico,Panama,1,0,Friendly,QuerÃ©taro,Mexico,False,Mexico
2014-10-12,Russia,Moldova,1,1,UEFA Euro qualification,Moscow,Russia,False,TIE
2014-10-12,Sweden,Liechtenstein,2,0,UEFA Euro qualification,Solna,Sweden,False,Sweden
2014-10-12,Ukraine,North Macedonia,1,0,UEFA Euro qualification,Lviv,Ukraine,False,Ukraine
2014-10-13,Bosnia and Herzegovina,Belgium,1,1,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,TIE
2014-10-13,Croatia,Azerbaijan,6,0,UEFA Euro qualification,Osijek,Croatia,False,Croatia
2014-10-13,Iceland,Netherlands,2,0,UEFA Euro qualification,ReykjavÃ­k,Iceland,False,Iceland
2014-10-13,Malta,Italy,0,1,UEFA Euro qualification,Attard,Malta,False,Italy
2014-10-13,Morocco,Kenya,3,0,Friendly,Marrakech,Morocco,False,Morocco
2014-10-13,Norway,Bulgaria,2,1,UEFA Euro qualification,Oslo,Norway,False,Norway
2014-10-13,Oman,Uruguay,0,3,Friendly,Muscat,Oman,False,Uruguay
2014-10-13,Wales,Cyprus,2,1,UEFA Euro qualification,Cardiff,Wales,False,Wales
2014-10-14,Armenia,France,0,3,Friendly,Yerevan,Armenia,False,France
2014-10-14,Denmark,Portugal,0,1,UEFA Euro qualification,Copenhagen,Denmark,False,Portugal
2014-10-14,Faroe Islands,Hungary,0,1,UEFA Euro qualification,TÃ³rshavn,Faroe Islands,False,Hungary
2014-10-14,Finland,Romania,0,2,UEFA Euro qualification,Helsinki,Finland,False,Romania
2014-10-14,Germany,Republic of Ireland,1,1,UEFA Euro qualification,Gelsenkirchen,Germany,False,TIE
2014-10-14,Hong Kong,Argentina,0,7,Friendly,So Kon Po,Hong Kong,False,Argentina
2014-10-14,Japan,Brazil,0,4,Friendly,Kallang,Singapore,True,Brazil
2014-10-14,South Korea,Costa Rica,1,3,Friendly,Seoul,South Korea,False,Costa Rica
2014-10-14,Poland,Scotland,2,2,UEFA Euro qualification,Warsaw,Poland,False,TIE
2014-10-14,Qatar,Australia,1,0,Friendly,Doha,Qatar,False,Qatar
2014-10-14,San Marino,Switzerland,0,4,UEFA Euro qualification,Serravalle,San Marino,False,Switzerland
2014-10-14,Serbia,Albania,0,3,UEFA Euro qualification,Belgrade,Serbia,False,Albania
2014-10-15,Algeria,Malawi,3,0,African Cup of Nations qualification,Blida,Algeria,False,Algeria
2014-10-15,Cameroon,Sierra Leone,2,0,African Cup of Nations qualification,YaoundÃ©,Cameroon,False,Cameroon
2014-10-15,Egypt,Botswana,2,0,African Cup of Nations qualification,Cairo,Egypt,False,Egypt
2014-10-15,Mali,Ethiopia,2,3,African Cup of Nations qualification,Bamako,Mali,False,Ethiopia
